List_Number,Close_of_Escrow_Date,Sold_Price,Zip_Code,Approx_SQFT,#_Bedrooms,#_Bathrooms
5953922,1/24/2020,228000,85353,1744,4,2
5954610,1/15/2020,415000,85282,1790,4,2
5954085,1/6/2020,1635000,85018,5397,5,4.5
5954139,1/17/2020,143000,85302,1201,2,1
5954235,1/15/2020,865000,85251,1907,3,2
5954753,1/3/2020,285000,85387,1706,2,2
5954489,1/1/2020,284999,85379,1988,4,2.5
5954480,1/31/2020,262900,85326,2488,5,3
5954665,1/27/2020,1162500,85213,7168,6,5.5
5954704,1/10/2020,612000,85331,4142,6,4.5
5955315,1/3/2020,115000,85208,1352,2,2
6022464,1/10/2020,869000,85050,3537,4,3.5
5955472,1/6/2020,399999,85006,1521,4,2
5974165,1/9/2020,419700,85207,1902,3,2
5957281,1/7/2020,391000,85338,2323,3,2.5
5955400,1/3/2020,365000,85361,2233,4,2
5969860,1/23/2020,490000,85268,2794,4,3
5956445,1/31/2020,384000,85212,2548,4,3
5958078,1/28/2020,195000,85033,1805,3,2
5955229,1/10/2020,260000,85374,2214,3,2
5958867,1/16/2020,938000,85262,3677,4,3.5
5955487,1/17/2020,305000,85086,2113,3,2
5956086,1/15/2020,300000,85205,1704,3,2
5959826,1/3/2020,685000,85048,4044,6,4
5955644,1/27/2020,778000,85268,4432,5,5.5
5960064,1/16/2020,251000,85086,1344,2,2
5955848,1/17/2020,715000,85338,3675,4,3.5
5957356,1/7/2020,325000,85340,2408,4,2.5
5956082,1/17/2020,215000,85326,1875,2,2.5
6002551,1/29/2020,718000,85255,3127,2,3
5971709,1/21/2020,128000,85301,1108,2,2
5959769,1/3/2020,599000,85142,3121,4,3.5
5961804,1/7/2020,367500,85254,1348,2,2
5959085,1/3/2020,405000,85295,3060,5,3
5956360,1/16/2020,415000,85268,2097,3,2
5957169,1/6/2020,330000,85203,2467,3,3
5956115,1/28/2020,339990,85383,1921,3,2
5956242,1/16/2020,725432,85298,3461,4,3.5
5995150,1/15/2020,540000,85085,3784,5,3.5
6003279,1/17/2020,270000,85339,2449,4,2.5
5966594,1/24/2020,443900,85050,3126,5,2.5
5959863,1/9/2020,874900,85255,3719,3,3
5956735,1/8/2020,308000,85212,2180,3,2.5
5956676,1/17/2020,550000,85260,2726,4,3
5956911,1/22/2020,525000,85297,3241,5,3
5961550,1/5/2020,135000,85374,750,1,2
6017172,1/31/2020,537000,85266,2182,3,2
5974694,1/3/2020,475000,85306,3094,5,3
5962447,1/21/2020,895000,85259,4005,5,3.5
5964833,1/2/2020,225000,85035,1726,4,2
5957623,1/9/2020,480000,85249,2964,4,2.5
5962017,1/16/2020,1450000,85044,5570,5,5.5
5957680,1/31/2020,274000,85282,1480,3,1.75
5969289,1/17/2020,2100000,85260,6854,6,6
5957987,1/6/2020,315000,85258,1675,3,3
5967932,1/7/2020,305000,85016,1494,3,2
5958080,1/31/2020,164800,85035,840,2,1
5958041,1/29/2020,517301,85205,2462,4,3
5963305,1/28/2020,344900,85016,1858,3,2.5
5959392,1/30/2020,350000,85396,3032,4,2.5
5959168,1/3/2020,330000,85263,2007,2,2
5958919,1/6/2020,1947500,85250,3745,4,4.5
5961128,1/27/2020,620000,85042,4813,6,4.5
5958259,1/31/2020,620000,85305,2575,3,2
5958331,1/31/2020,430000,85281,1550,2,2
5960485,1/10/2020,299900,85338,2128,3,2.5
5966810,1/31/2020,635000,85262,2843,3,2.5
5958520,1/31/2020,285000,85355,2040,3,3
5958525,1/17/2020,497850,85212,2709,3,2.5
5958530,1/21/2020,264990,85326,1953,3,2.5
5979903,1/10/2020,173500,85351,983,2,2
5962512,1/24/2020,1020000,85253,2239,2,2.5
5960037,1/15/2020,299900,85382,2265,5,3
5960699,1/31/2020,623205,85054,2576,4,2.5
5960044,1/6/2020,1170000,85207,4241,4,4.5
5959437,1/9/2020,295000,85249,1636,3,2
5960837,1/24/2020,359218,85383,1544,2,2
5960840,1/31/2020,394885,85383,1832,2,2
5958976,1/17/2020,246000,85006,1040,2,1
5959106,1/9/2020,185000,85387,1568,3,2
5959417,1/10/2020,265418,85308,1600,3,2.5
5959420,1/10/2020,287366,85308,1600,3,2.5
5996186,1/9/2020,312500,85028,1306,3,2
5959528,1/22/2020,271990,85212,1388,2,2
5960370,1/14/2020,970000,85086,4649,4,3.5
5960827,1/24/2020,288000,85202,1842,3,2.5
5960166,1/30/2020,345000,85006,1671,3,2
5959943,1/6/2020,576000,85207,3148,3,3
5960239,1/29/2020,515000,85286,3125,4,3
5960081,1/14/2020,392000,85304,3026,4,3
5993400,1/27/2020,370000,85259,1793,3,2.5
5960207,1/31/2020,349000,85338,2906,4,2
5960833,1/29/2020,1515000,85251,3202,4,4
5960028,1/30/2020,330000,85226,1570,3,2
5960400,1/22/2020,262500,85340,2543,5,3
5960220,1/17/2020,523000,85286,3235,6,4.5
5960621,1/3/2020,330000,85142,2702,5,3
5965250,1/16/2020,320000,85044,1778,3,2
5960853,1/7/2020,374464,85383,1739,2,2
5960700,1/23/2020,467500,85083,3708,4,3
5963923,1/15/2020,235000,85051,2154,4,2
5960752,1/30/2020,409400,85258,1590,2,2
6006743,1/16/2020,1150000,85253,3865,4,3
5973122,1/8/2020,1617000,85266,6850,5,6
5963401,1/6/2020,230000,85248,970,2,2
5962106,1/16/2020,257000,85308,1405,3,2
5962550,1/2/2020,2117500,85253,5256,5,5
5961190,1/6/2020,245000,85118,1465,3,2
5969140,1/23/2020,253000,85086,1403,3,2
5970697,1/7/2020,290000,85374,2019,2,1.75
5961411,1/10/2020,761000,85251,1269,2,2
5961368,1/16/2020,560000,85331,2569,3,2.5
5961403,1/13/2020,265000,85051,1666,3,2
5961413,1/27/2020,14000,85213,660,2,2
5961646,1/3/2020,756000,85029,2352,3,2.5
